60	-1	Type	LayerState	-
60	536	Uint	LayerState	flags
61	-1	Type	AnimationState	-
61	149	Uint	AnimationState	animationId
62	-1	Type	AnyState	-
63	-1	Type	EntryState	-
64	-1	Type	ExitState	-
65	-1	Type	StateTransition	-
65	151	Uint	StateTransition	stateToId
65	152	Uint	StateTransition	flags
65	158	Uint	StateTransition	duration
65	160	Uint	StateTransition	exitTime
65	349	Uint	StateTransition	interpolationType
65	350	Uint	StateTransition	interpolatorId
65	537	Uint	StateTransition	randomWeight
66	-1	Type	StateMachineLayerComponent	-
67	-1	Type	TransitionInputCondition	-
67	155	Uint	TransitionInputCondition	inputId
68	-1	Type	TransitionTriggerCondition	-
69	-1	Type	TransitionValueCondition	-
69	156	Uint	TransitionValueCondition	opValue
70	-1	Type	TransitionNumberCondition	-
70	157	Double	TransitionNumberCondition	value
71	-1	Type	TransitionBoolCondition	-
72	-1	Type	BlendState	-
73	-1	Type	BlendStateDirect	-
74	-1	Type	BlendAnimation	-
74	165	Uint	BlendAnimation	animationId
75	-1	Type	BlendAnimation1D	-
75	166	Double	BlendAnimation1D	value
76	-1	Type	BlendState1DInput	-
76	167	Uint	BlendState1DInput	inputId
77	-1	Type	BlendAnimationDirect	-
77	168	Uint	BlendAnimationDirect	inputId
77	297	Double	BlendAnimationDirect	mixValue
77	298	Uint	BlendAnimationDirect	blendSource
78	-1	Type	BlendStateTransition	-
78	171	Uint	BlendStateTransition	exitBlendAnimationId
79	-1	Type	Constraint	-
79	172	Double	Constraint	strength
80	-1	Type	TargetedConstraint	-
80	173	Uint	TargetedConstraint	targetId
81	-1	Type	IKConstraint	-
81	174	Bool	IKConstraint	invertDirection
81	175	Uint	IKConstraint	parentBoneCount
82	-1	Type	DistanceConstraint	-
82	177	Double	DistanceConstraint	distance
82	178	Uint	DistanceConstraint	modeValue
83	-1	Type	TransformConstraint	-
83	372	Double	TransformConstraint	originX
83	373	Double	TransformConstraint	originY
84	-1	Type	KeyFrameBool	-
84	181	Bool	KeyFrameBool	value
85	-1	Type	TransformComponentConstraint	-
85	182	Double	TransformComponentConstraint	copyFactor
85	183	Double	TransformComponentConstraint	minValue
85	184	Double	TransformComponentConstraint	maxValue
85	188	Bool	TransformComponentConstraint	offset
85	189	Bool	TransformComponentConstraint	doesCopy
85	190	Bool	TransformComponentConstraint	min
85	191	Bool	TransformComponentConstraint	max
85	195	Uint	TransformComponentConstraint	minMaxSpaceValue
86	-1	Type	TransformComponentConstraintY	-
86	185	Double	TransformComponentConstraintY	copyFactorY
86	186	Double	TransformComponentConstraintY	minValueY
86	187	Double	TransformComponentConstraintY	maxValueY
86	192	Bool	TransformComponentConstraintY	doesCopyY
86	193	Bool	TransformComponentConstraintY	minY
86	194	Bool	TransformComponentConstraintY	maxY
87	-1	Type	TranslationConstraint	-
88	-1	Type	ScaleConstraint	-
89	-1	Type	RotationConstraint	-
90	-1	Type	TransformSpaceConstraint	-
90	179	Uint	TransformSpaceConstraint	sourceSpaceValue
90	180	Uint	TransformSpaceConstraint	destSpaceValue
91	-1	Type	WorldTransformComponent	-
91	18	Double	WorldTransformComponent	opacity
92	-1	Type	NestedArtboard	-
92	197	Uint	NestedArtboard	artboardId
92	895	Bool	NestedArtboard	isPaused
92	907	Double	NestedArtboard	speed
92	908	Double	NestedArtboard	quantize
92	1014	Bool	NestedArtboard	isStateful
93	-1	Type	NestedAnimation	-
93	198	Uint	NestedAnimation	animationId
95	-1	Type	NestedStateMachine	-
96	-1	Type	NestedSimpleAnimation	-
96	199	Double	NestedSimpleAnimation	speed
96	201	Bool	NestedSimpleAnimation	isPlaying
97	-1	Type	NestedLinearAnimation	-
97	200	Double	NestedLinearAnimation	mix
98	-1	Type	NestedRemapAnimation	-
98	202	Double	NestedRemapAnimation	time
99	-1	Type	Asset	-
99	203	String	Asset	name
100	-1	Type	Image	-
100	206	Uint	Image	assetId
100	380	Double	Image	originX
100	381	Double	Image	originY
100	974	Uint	Image	fit
100	975	Double	Image	alignmentX
100	976	Double	Image	alignmentY
100	1076	Uint	Image	samplerFilter
100	1077	Uint	Image	samplerWrapX
100	1078	Uint	Image	samplerWrapY
103	-1	Type	FileAsset	-
103	204	Uint	FileAsset	assetId
103	362	String	FileAsset	cdnBaseUrl
104	-1	Type	DrawableAsset	-
104	207	Double	DrawableAsset	height
104	208	Double	DrawableAsset	width
105	-1	Type	ImageAsset	-
105	1073	Uint	ImageAsset	samplerFilter
